Ref,Label,Description,Translate,MaxChars,English,German,Spanish,French,Italian,Netherland,Danish,Swedish,Chinese,Polish,Japanese,Korean,Portuguese,Slovak,Russian,Hungarian,Bulgarian,Romanian,Czech,Turkish,Finnish,Greek,T-Chinese,Serbian,Slovenian,Thai,Polish UTF8
199,STI_READING_STABLE,"Before proceeding with calibration, make sure your reading is stable.",1,15,READING STABLE?,WERT STABIL?,LECTURA STABLE?,LECTURE STABLE?,LETT. STABILE?,METING STABIEL?,L�SN. STABIL?,V�RDET.STABILT?,读数稳定？,ODCZYT STAB.?,指示値は安定,측정안정성?,LEIT EST�VEL?,ÚDAJ STABILNÝ?,СТАБИЛИЗ.?,STAB. BEÁLLT?,,CITIRE STABILA?,ÚDAJ STABILNÍ?,OKUMA SABİT Mİ?,ARVO VAKAA?,ΣΤΑΘΕΡ. ΤΙΜΗ?,,STABILINO ?,REZULT STABIL,??????,ODCZYT STAB.?
200,STI_RELAY,Relay,1,8,RELAY,RELAIS,RELE,RELAIS,RELE,RELAIS,REL�,REL�,继电器,KONTAKT,リレー,릴레이,REL�,RELÉ,РЕЛЕ,RELÉ,,RELEU,RELÉ,RÖLE,RELE,ΡΕΛΕ,,RELE,RELE,??????,KONTAKT
201,STI_ACTIVE,Relay  is active,1,13,ACTIVE,MITLAUFEN,ACTIVO,ACTIF,ATTIVO,AAN,AKTIV,TILL,激活,AKTYWNY,稼働,활성,ATIVO,AKTÍVNE,АКТИВИР.,AKTÍV,,ACTIV,AKTIVNÍ,AKTİF,VETÄNEENÄ,ΕΝΕΡΓΟ,,RELE AKTIV.,AKTIVEN,??????,AKTYWNY
202,STI_INACTIVE,Relay  is in-active,1,15,INACTIVE,INAKTIV,INACTIVO,INACTIF,NO ATTIVO,UIT,INAKTIV,FR�N,非激活,NIEAKTYWNY,非稼働,비활성,INATIVO,NIE JE AKTÍVNE,ДЕАКТИВИР.,NEM AKTÍV,,INACTIV,NEAKTIVNÍ,AKTİF DEĞİL,PÄÄSTÄNEENÄ,ΑΝΕΝΕΡΓΟ,,RELE DEAKTIV.,NE AKTIVEN,??????,NIEAKTYWNY
203,STI_COUNTING,Relay overfeed timer is counting down.,1,10,COUNTING,Z�HLEN,CONTANDO,DECOMPTE,CONTAN.,AFTELLEN,T�LLER,TID P�G�R,计数,LICZENIE,カウント中,카운팅,CONTANDO,SPOČÍTANIE,ОТСЧЕТ,SZÁMLÁL,,NUMARARE,ODPOČÍT.,SAYIYOR,LASKENTA,ΑΡΙΘΜΗΣΗ,,BROJI,ODŠTEVNJE,??????,LICZENIE
204,STI_TIMEOUT,Relay overfeed timer has timed out.,1,12,TIMEOUT,HALT,INTERR.,ARRET,INTERROTTO,TIME-OUT,STOPPET,TID UTE,中止联接,KONIEC CZASU,タイムアウト,타임아웃,TEMPO LIMITE,TIME OUT,ТАЙМАУТ,IDÖTÚLLÉPÉS,,TIMP EXPIRAT,ČAS VYPRŠEL,ZAMAN ASIMI,AIKA YLI,ΛΗΞΗ ΧΡ.,,ISTEK VREM.,PREMOR,??????,KONIEC CZASU
205,STI_RESISTIVITY,Select Resistivity measurement type,1,14,RESISTIVITY,WIDERSTAND,RESISTIVIDAD,RESISTIVITE,RESISTIVITA,WEERSTAND,MODSTAND,RESISTIVITET,电阻率,OPOR,抵抗率,저항,RESISTIVIDADE,ODPOR,СОПРОТИВЛ.,ELLENÁLLÁS,,REZISTIVITATE,REZISTIVITA,ÖZDİRENÇ,RESIST,ΕΙΔΙΚ.ΑΝΤΙΣΤ.,,OTPORNOST,UPORNOST,??????,OPOR
206,STI_MAIN_MENU,"Select: Calibrate, Configure and Test functions",1,15,MAIN MENU,HAUPTMENU,MENU PRINCIPAL,MENU PRINCIPAL,MENU PRINCIPALE,HOOFD MENU,HOVEDMENU,HUVUDMENY,主菜单,MENU GLOWNE,メインメニュー,메인메뉴,MENU PRINCIPAL,HLAVNÉ MENU,ГЛАНОЕ МЕНЮ,FÖMENÜ,,MENIU PRINCIP.,HLAVNÍ MENU,ANA MENÜ,PÄÄVALIKKO,ΚΥΡ. ΕΠΙΛΟΓΕΣ,,GLAVNI MENI,GLAVNI MENI,??????,MENU GLOWNE
207,STI_SAVE_TABLE,Do you want to save changes to the table,1,16,SAVE CHANGES?,�NDER. SICHERN,SALVAR CAMBIO?,SAUVER CHANG.?,SALVA CAMBI?,OPSLAAN?,BEVAR �NDRNG?,SPARA �NDR.?,保存修改,ZAPISAC?,変更の保存？,변경저장?,SALVA MUDAN�A?,ULOŽIŤ ZMENY?,СОХР. ИЗМ?,ELMENTI?,,SALVARE MODIF?,ULOŽIT ZMĔNY?,DEĞİŞ. KAYDET?,TALLENNA?,ΑΠΟΘΗΚ.ΑΛΛΑΓΩΝ,,SAČUVAJ ?,SHRANI?,??????,ZAPISAC?
208,STI_SECONDARY_CAL,Turbidity sample cube calibration,1,15,CUBE CAL,KAL TROCKENSTD,CALIB POR CUBO,ETAL. CUBE/CVM,TARAT CON CUBO,KUBUS KAL,SEKUND�R KAL,KALIBR.NORMAL,CUBE校准,KALIB.SUCHA,キューブ校正,큐브교정,CAL CUBO,KALIBR VALCA,КАЛИБ.ПО КУБУ,KALIBR. TEST,,CALIB PREL CUB,CUBE KALIBR,KÜP KAL,PRISMA KAL,ΒΑΘΜ.ΚΥΒΟΥ,,KALIB.SUVI STD,SUHA KALIB,??????,KALIB.SUCHA
209,STI_SEL_CELL_CONST,Select the nominal two electrode cell constant,1,15,SELECT CELL K,ZELL-KONSTANTE,SELECC. K CEL,CHOIX CONSTANT,SCELTA K CELLA,KIES CELCONST.,V�LG CELLE K.,V�LJ CELLKONST,选择电极K,STALA KOMORY,セル定数の選択,셀상수 K 선택,SEL CONST K,VÝBER K CELY,ВЫБОР K ЯЧ.,K KONST. KIVÁL,,SELEC CELULA K,VÝBĔR K CELY,HÜCRE K SEÇ,KENNOVAKIO,ΕΠΙΛ.ΚΥΨΕΛ. Κ,,KONST. ĆELIJE,IZBERI K CELIC,??????,STALA KOMORY
210,STI_SEL_CONC_COMP,Select type of temperature element used.,1,14,SELECT TYPE,TEMP-ELEMENT,SELECC TIPO,CHOIX TYPE T�,SCELTA TIPO,TYPE:,V�LG TYPE,V�LJ TEMPG.TYP,选择类型,WYBIERZ TYP,タイプの選択,타입 선택,SEL TIPO,VÝBER TYPU,ВЫБ. ТИП ТЭ,TÍPUS KIVÁL,,SELECT TIP,VÝBĔR TYPU,TİP SEÇ,T TYYPPI,ΕΠΙΛΟΓΗ ΤΥΠΟΥ,,ODREDI TEMP.EL,TEMP ELEMENT,??????,WYBIERZ TYP
211,STI_SEL_DISP_FORMAT,Select a numerical format.,1,16,DISPLAY FORMAT,ANZEIGEFORMAT,FORMA PANTALLA,FORMAT AFFICH.,FORMATO DISPL,SCHERMWEERGAVE,VIS FORMAT,DISPL. VISNING,显示格式,RODZ.WYSWIETL.,表示形式,표시창 포맷,DISPLAY,ZOBRAZ FORMÁT,ФОРМ. ОТОБРАЖ,KIJELZ. FORMA,,AFIS. FORMAT,ZOBRAZIT FORMÁT,EKRAN FORMATI,FORMAATTI,ΔΙΑΜΟΡ.ΕΝΔΕΙΞ.,,FORMAT DISPL.,FORMAT ZASLON,??????,RODZ.WYSWIETL.
212,STI_SEL_MEAS_TYPE,Choose a measurement type.  Conductivity or TDS,1,15,SELECT MEASURE,MESSART W�HLEN,SELECC. MEDIDA,CHOIX COND./TD,SCELT COND/TDS,KIES MEETCEL,V�LG M�LING,V�LJ M�TMETOD,选择测量,WYBIERZ TYP,測定の選択,측정선택,SEL MEDIDA,VYBER MERANIE,ВЫБ. ТИП ИЗМ,MÉRÉS VÁLASZT.,,SELECT. MASURA,VÝBĔR MĔŘENĺ,ÖLÇÜM SEÇ,VALITSE MITT,ΕΠΙΛ.ΜΕΤΡΗΣΗΣ,,TIP MERENJA,IZBERI MERITEV,??????,WYBIERZ TYP
213,STI_SEL_TDS_FACTOR,Select USER DEFINED or NACL for TDS measure,1,15,SELECT FACTOR,FAKTOR W�HLEN,SELECC. FACTOR,CHOIX FACTEUR,SCELT FATTORE.,KIES FACTOR,V�LG FAKTOR,V�LJ FAKTOR,选择系数,WYBIERZ FAKTOR,ファクタの選択,인자선택,SEL FATOR,VYBER FAKTOR,ВЫБ. ФАКТОРА,SZORZÓ VÁLASZT,,SELECT. FACTOR,VÝBĔR FAKTORU,FAKTÖR SEÇ,VALITSE KERR,ΕΠΙΛ.ΠΑΡΑΓΟΝΤΑ,,IZABERI FAKTOR,IZBERI FAKTOR,??????,WYBIERZ FAKTOR
214,STI_SEL_TEMP_COMP,Choose type of compensation used,1,16,T-COMPENSATION,T-KOMPENSATION,COMPENSACION,CHOIX COMPENS.,COMPENSAZIONE,COMPENSATIE,TEMP.KOMP,TEMP.KOMP,温度补偿,KOMPENSACJA T,温度補償,온도보상,COMP TEMP,T-KOMPENZÁCIA,ТЕРМОКОМП.,HÖM.KOMPENZ.,,COMPENSARE-T,T-KOMPENZACE,T-KOMPENZASYON,T KOMPENS,ΑΝΤΙΣΤ.ΘΕΡΜΟΚ.,,T- KOMPENZ.,TEMP KOMPENZ,??????,KOMPENSACJA T
215,STI_SEL_UNITS,Select units for turbidity,1,15,SELECT UNITS,EINHEIT W�HLEN,SELEC UNIDADES,CHOIX UNITES,UNITA SCELTA,SELECT EENHEID,V�LG ENHEDER,V�LJ ENHET,选择单位,WYBOR JEDNOST.,単位の選択,단위선택,SEL UNIDADES,VYBER JEDNOTKY,ВЫБОР ЕДИНИЦ,MÉRTÉKEGYSÈG,,SELECT UNITATI,VÝBĔR JEDNOTKY,BİRİM SEÇ,YKSIKKÖ,ΕΠΙΛ. ΜΟΝΑΔΩΝ,,POST. JEDINICE,IZBERI ENOTE,??????,WYBOR JEDNOST.
216,STI_SENSOR_A_FAIL,Sensor A is NOT operating normally,1,14,SENSOR A FAIL,SENS A FEHLER,SENSOR A FALLA,CAPT. A ERREUR,SENSORE A FAIL,SENSOR A FOUT,SENSOR A FEJL,GIVARE A FEL,传感器A出错,BLAD SONDY A,センサA不具合,센서A 실패,FALHA SENSOR A,SENZ A CHYBA,ОШИБ. ДАТЧ. A,A SZENZ. HIBA,,EROARE SENZ. A,SENZOR A CHYBA,SENSÖR A HATA,ANTURI A VIKA,ΑΙΣΘ. Α ΣΦΑΛΜΑ,,SENZ.A GREŠKA,NAPAKA SENZ A,??????,BLAD SONDY A
217,STI_SENSOR_A_OK,Sensor A is operating normally,1,14,SENSOR A OK,SENSOR A OK,SENSOR A OK,CAPTEUR A OK,SENSORE A OK,SENSOR A OK,SENSOR A OK,GIVARE A OK,传感器A正常,SONDA A OK.,センサA OK,센서A 성공,SENSOR A OK,SENZOR A OK,ДАТЧ. A ИСПР.,A SZENZ. OK,,SENZOR A OK,SENZOR A OK,SENSÖR A OK,ANTURI A OK,ΑΙΣΘΗΤ. Α  ΟΚ,,SENZ.A OK,SENZ A OK,??????,SONDA A OK.
218,STI_SENSOR_B_FAIL,Sensor B is NOT operating normally,1,14,SENSOR B FAIL,SENS B FEHLER,SENSOR B FALLA,CAPT. B ERREUR,SENSORE B FAIL,SENSOR B FOUT,SENSOR B FEJL,GIVARE B FEL,传感器B出错,BLAD SONDY B,センサB不具合,센서B 실패,FALHA SENSOR B,SENZ B CHYBA,ОШИБ. ДАТЧ. B,B SZENZ. HIBA,,EROARE SENZ. B,SENZOR B CHYBA,SENSÖR B HATA,ANTURI B VIKA,ΑΙΣΘ. Β ΣΦΑΛΜΑ,,SENZ.B GREŠKA,NAPAKA SENZ B,??????,BLAD SONDY B
219,STI_SENSOR_B_OK,Sensor B is operating normally,1,14,SENSOR B OK,SENSOR B OK,SENSOR B OK,CAPTEUR B OK,SENSORE B OK,SENSOR B OK,SENSOR B OK,GIVARE B OK,传感器B正常,SONDA B OK.,センサB OK,센서B 성공,SENSOR B OK,SENZ B OK,ДАТЧ. B ИСПР.,B SZENZ. OK,,SENZOR B OK,SENZOR B OK,SENSÖR B OK,ANTURI B OK,ΑΙΣΘΗΤ. Β ΟΚ,,SENZ.B OK,SENZ B OK,??????,SONDA B OK.
220,STI_SENSOR_FAIL,The sensor is NOT operating normally.,1,15,SENSOR FAIL,SENSOR FEHLER,SENSOR FALLA,CAPTEUR ERREUR,SENSORE FAIL,SENSOR FOUT,SENSOR FEJL,GIVARE FEL,传感器出错,BLAD SONDY,センサ不具合,센서 실패,FALHA SENSOR,CHYBA SENZORA,ОШИБ. ДАТЧ.,SZENZOR HIBA,,EROARE SENZOR,SENZOR CHYBA,SENSÖR HATALI,ANTURIVIKA,ΑΙΣΘ. ΣΦΑΛΜΑ,,SENZOR GREŠKA,NAPAKA SENZ,??????,BLAD SONDY
221,STI_SENSOR_OK,The sensor is operating normally.,1,14,SENSOR OK,SENSOR OK,SENSOR OK,CAPTEUR OK,SENSORE OK,SENSOR OK,SENSOR OK,GIVARE OK,传感器正常,SONDA OK.,センサOK,센서 성공,SENSOR OK,SENZOR OK,ДАТЧ. ИСПРАВ.,SZENZ. RENDBEN,,SENZOR OK,SENZOR OK,SENSÖR OK,ANTURI OK,ΑΙΣΘΗΤ. ΟΚ,,SENZOR OK,SENZ OK,??????,SONDA OK.
222,STI_SENSOR_TYPE,Select the sensor type,1,14,SENSOR TYPE,SENSORTYP,TIPO DE SENSOR,TYPE CAPTEUR,TIPO SENSORE,SENSORTYPE,SENSORTYPE,TYP AV GIVARE,传感器类型,TYP SONDY,センサタイプ,센서 타입,TIPO SENSOR,TYP SENZORA,ТИП ДАТЧИКА,SZENZ. TÍPUS,,TIP SENZOR,TYP SENZORU,SENSÖR TİPİ,ANTURIN TYYPPI,ΤΥΠΟΣ ΑΙΣΘΗΤ.,,SENZOR TIP,SENZ TIP,??????,TYP SONDY
223,STI_SET_OUTPUT_1,Set 0/4mA and 20mA values for output 1,1,14,SET OUTPUT 1,AUSGANG1 EINST,PROG. SALIDA 1,PROG. SORTIE 1,PROG.USCITA 1,PROG.UITGANG1,PROG.UDGANG 1,ST�LL IN UTG 1,设置输出1,USTAW WYJ.1,出力1の設定,출력1 설정,AJUSTE SA�DA 1,NAST VÝST. 1,УСТ. ВЫХОДА 1,KIMEN.1 BEÁLL.,,SET IESIRE 1,NASTAV VÝSTUP1,ÇIKIŞ 1 GİR,ULOSTULO 1,ΟΡΙΣ.ΕΞΟΔΟΥ 1,,POST.IZL.1,NAST IZHOD 1,??????,USTAW WYJ.1
224,STI_SET_OUTPUT_2,Set 0/4mA and 20mA values for output 2,1,14,SET OUTPUT 2,AUSGANG2 EINST,PROG. SALIDA 2,PROG. SORTIE 2,PROG.USCITA 2,PROG.UITGANG2,PROG.UDGANG 2,ST�LL IN UTG 2,设置输出2,USTAW WYJ.2,出力2の設定,출력2 설정,AJUSTE SA�DA 2,NAST VÝST. 2,УСТ. ВЫХОДА 2,KIMEN.2 BEÁLL.,,SET IESIRE 2,NASTAV VÝSTUP2,ÇIKIŞ 2 GİR,ULOSTULO 2,ΟΡΙΣ.ΕΞΟΔΟΥ 2,,POST.IZL.2,NAST IZHOD 2,??????,USTAW WYJ.2
225,STI_SET_REF_TEMP,Set the reference temperature for linear compensation,1,14,SET REF TEMP,REF TEMP EINST,PROG. REF.TEMP,PROG. TEMP REF,PROG.TEMP.RIF,REF TEMP INST.,S�T.REF.TEMP.,V�LJ REF.TEMP.,设置参考温度,USTAW REF.TEMP,参照温度の設定,기준온도설정,CFG TEMP REF,NAST REF TEPL.,УСТ. ОТН. ТЕМП,REF.HÖM.BEÁLL.,,SET TEMP REF,NASTAV REFER T,REF SIC GİR,ASETA REF T,ΟΡΙΣ.ΘΕΡ.ΑΝΑΦ.,,POST. REF.TEMP,NAST REF TEMP,??????,USTAW REF.TEMP
226,STI_SET_RELAY_A,Set operation of Relay A.,1,14,SET RELAY A,RELAIS A EINST,PROG. RELE A,PROG. RELAIS A,PROG.RELE A,PROG.RELAIS A,PROG.REL� A,ST�LL REL�  A,设置继电器A,USTAW KONT.A,リレーAの設定,릴레이A 설정,CFG REL� A,NAST RELE A,УСТ. РЕЛЕ A,A RELÉ BEÁLLÍT,,SET RELEU A,NASTAV RELÉ A,RÖLE A AYARLA,ASETA RELE A,ΟΡΙΣ. RELAY Α,,POST.REL. A,NAST RELE A,??????,USTAW KONT.A
227,STI_SET_RELAY_B,Set operation of Relay B.,1,14,SET RELAY B,RELAIS B EINST,PROG. RELE B,PROG. RELAIS B,PROG.RELE B,PROG.RELAIS B,PROG.REL� B,ST�LL REL�  B,设置继电器B,USTAW KONT.B,リレーBの設定,릴레이B 설정,CFG REL� B,NAST RELE B,УСТ. РЕЛЕ B,B RELÉ BEÁLLÍT,,SET RELEU B,NASTAV RELÉ B,RÖLE B AYARLA,ASETA RELE B,ΟΡΙΣ. RELAY Β,,POST.REL. B,NAST RELE B,??????,USTAW KONT.B
228,STI_SET_RELAY_C,Set operation of Relay C.,1,14,SET RELAY C,RELAIS C EINST,PROG. RELE C,PROG. RELAIS C,PROG.RELE C,PROG.RELAIS C,PROG.REL� C,ST�LL REL�  C,设置继电器C,USTAW KONT.C,リレーCの設定,릴레이C 설정,CFG REL� C,NAST RELE C,УСТ. РЕЛЕ C,C RELÉ BEÁLLÍT,,SET RELEU C,NASTAV RELÉ C,RÖLE C AYARLA,ASETA RELE C,ΟΡΙΣ.RELAY C,,POST.REL. C,NAST RELE C,??????,USTAW KONT.C
229,STI_SET_RELAY_D,Set operation of Relay D.,1,14,SET RELAY D,RELAIS D EINST,PROG. RELE D,PROG. RELAIS D,PROG.RELE D,PROG.RELAIS D,PROG.REL� D,ST�LL REL�  D,设置继电器D,USTAW KONT.D,リレーDの設定,릴레이D 설정,CFG REL� D,NASTRELE D,УСТ. РЕЛЕ D,D RELÉ BEÁLLÍT,,SET RELEU D,NASTAV RELÉ D,RÖLE D AYARLA,ASETA RELE D,ΟΡΙΣ.RELAY D,,POST.REL. D,NAST RELE D,??????,USTAW KONT.D
230,STI_SET_SENSOR_K,Adjust the nominal cell constant to accurate number,1,14,SET CELL K,ZELL-KONSTANTE,PROG. K CEL,PROG. CONST. K,PROG.COST.K,CELCONST INSTL,PROG. CELLE K.,ST�LL C-KONST,设置电极K,STALA KOMORY,セル定数の設定,셀상수K 설정,CFG CONST K,NAST KONST CEL,УСТ. K ЯЧЕЙКИ,CELLAÁLLANDÓ,,SET CELULA K,NASTAV K CELY,HÜCRE SAB GİR,KENNOVAKIO,ΣΤΑΘΕΡ.ΚΥΨΕΛ.,,POST.K ĆELIJE,NAST K CELICE,??????,STALA KOMORY
231,STI_SET_SLOPE,Set the slope for linear compensation,1,14,SET SLOPE,STEILH. EINST.,PROG. SLOPE,PROG. PENTE,PROG. SLOPE,SLOPE INSTEL.,PROG.H�LDNING,JUST LINJ.FAKT,设置斜率,USTAW NACHYL.,スロープの設定,기울기 설정,CFG SLOPE,NAST SKLON,УСТ. НАКЛОНА,MEREDEKS.BEÁLL,,SETARE PANTA,NASTAV SKLON,EĞİM AYARLA,ASETA JYRKKYYS,ΟΡΙΣ.ΚΛΙΣΗΣ,,POST. NAGIB,NAST NAKLON,??????,USTAW NACHYL.
232,STI_SET_TDS_FACTOR,Set the factor in ppm/us for TDS when user defined,1,15,SET FACTOR,FAKTOR EINST.,PROG. FACTOR,PROG. FACTEUR,PROG. FATTORE,FACTOR INSTEL.,PROG. FAKT.,ST�LL FAKTOR,设置系数,USTAW FAKTOR,ファクタの設定,인자 설정,CFG FATOR,NAST FAKTOR,УСТ. ФАКТОРА,SZORZÓ BEÁLL,,SET FACTOR,NASTAV FAKTOR,FAKTÖR AYARLA,ASETA KERROIN,ΟΡΙΣ.ΠΑΡΑΓΟΝΤΑ,,POST.FAKTOR,NAST FACTOR,??????,USTAW FAKTOR
233,STI_SET_TEMP_UNITS,Set temperature units,1,14,SET �C OR �F,C ODER F W�HLEN,PROG. �C O �F,UNITE �C OU �F,IMPOSTA �C O �F,�C OF �F INSTEL.,PROG. C OR F,PROG. �C/ �F,设置°C或°F,USTAW �C LUB �F,°C/?F設定,°C 또는 °F 설정,CFG �C/�F,NASTAV ºC/ºF,УСТ. °C ИЛИ °F,°C VAGY °F,,SET °C SAU °F,NASTAV ºC/ºF,°C VEYA ºF,ASETA °C / °F,ΕΠΙΛ. °C Ή °F,,POST. C ILI F,TEMP ENOTE,??????,USTAW °C LUB °F
234,STI_SET_TO_BUILTIN,Sodium Chloride table to compensate TDS,1,15,SET TO BUILTIN,EINGEBAUT,INST. INTERNO,PROG USINE TDS,TAV.NACL/TDS,INTERN COMP.,INDBYGGET,PROG.TABELL,内定值,KOMP. NaCl,組み込みの設定,빌터인 설정,CFG BUILTIN,NAST NA ZABUD,УСТ. NACL КОМП,GYÁRI ÉRT.KIV.,,SET COMPENSARE,NAST TABULKY,DAHİLİ AYARLA,ASETA TDS,ΕΝΣΩΜΑΤΩΜΕΝΟ,,POST. TDS KOMP,NAST TOVAR,??????,KOMP. NaCl
235,STI_SIM_SENSOR,Simulate the Sensor (single sensor system),1,14,SIM SENSOR,SENSOR SIMUL.,SIM. SENSOR,SIMUL. CAPTEUR,SIM.SENS.,SIM.SENSOR,SIM SENSOR,SIMULERA GIVAR,模拟传感器,CZUJNIK SYMUL.,センサのSIM,센서시물레이션,SIMULA LEITURA,SIMUL SENZOR,ИМИТ. ДАТЧ.,SZENZ. SZIMUL.,,SIM SENZOR,SIMUL SENZOR,SENSÖR SİM. ET,SIM ANTURI,ΠΡΟΣΟΜ. ΑΙΣΘ,,SENZ.SIMUL.,SIMUL SENZ,??????,CZUJNIK SYMUL.
236,STI_SIM_TEMP,Simluate Temperature (single sensor system),1,14,SIM TEMP,TEMP. SIMUL.,SIM. TEMP,SIMUL. TEMP.,SIM.TEMP.,SIM.TEMP,SIM TEMP,SIMULERA TEMP,模拟温度,TEMP.SYMUL,温度のSIM,온도시물레이션,SIMULA TEMP,SIMUL TEPLOTU,ИМИТ. ТЭ,HÖM. SZIMULÁL,,SIM TEMPERAT.,SIMUL TEPLOTA,SICAKL SİM. ET,SIM T,ΠΡΟΣΟΜ.ΘΕΡ.,,TEMP.SIMUL.,SIMUL TEMP,??????,TEMP.SYMUL
237,STI_SOURCE_1_FAIL,Turbidity Source 1 has failed.,1,14,SOURCE 1 FAIL,SENDER1 DEFEKT,RECUR1 FALLADO,SOURCE 1 ERR.,LAMPADA 1 FAIL,SENSOR 1 FAIL,SOURCE 1 FEJL,TURBK. 1 FEL,源1异常,BLAD NADAJNIK1,ソース1不具合,소스1 실패,FALHA FONTE 1,ZDROJ 1 CHYBA,ОШИБ. ИСТ.1,FORRÁS 1 HIBA,,EROARE SURSA 1,ZDROJ 1 CHYBA,KAYNAK 1 HATA,SOURCE 1 FAIL,ΠΗΓΗ 1ΑΠΟΤΥΧ.,,TURB.1 GREŠKA,VIR 1 NAPAKA,??????,BLAD NADAJNIK1
238,STI_SOURCE_1_OK,Turbidity Source 1 is ok.,1,14,SOURCE 1 OK,SENDER 1 OK,RECURSO 1 BIEN,SOURCE 1 OK,LAMPADA 1 OK,SENSOR 1 OK,KILDE 1 OK,TURBK. 1 OK,源1正常,NADAJNIK 1 OK.,ソース1OK,소스1 성공,FONTE 1 OK,ZDROJ 1 OK,ИСТОЧ. 1 OK,FORRÁS 1 OK,,SURSA 1 OK,ZDROJ 1 OK,KAYNAK 1 OK,SOURCE 1 OK,ΠΗΓΗ 1 ΟΚ,,TURB.1 OK,VIR 1 OK,??????,NADAJNIK 1 OK.
239,STI_SOURCE_2_FAIL,Turbidity Source 2 has failed.,1,14,SOURCE 2 FAIL,SENDER2 DEFEKT,RECUR2 FALLADO,SOURCE 2 ERR.,LAMP 2 OUT,SENSOR 2 FAIL,SOURCE 2 FEJL,TURBK. 2 FEL,源2异常,BLAD NADAJNIK2,ソース2失敗,소스2 실패,FALHA FONTE 2,ZDROJ 2 CHYBA,ОШИБ. ИСТ.2,FORRÁS 2 HIBA,,EROARE SURSA 2,ZDROJ 2 CHYBA,KAYNAK 2 HATA,SOURCE 2 FAIL,ΠΗΓΗ 2 ΑΠΟΤΥΧ.,,TURB.2 GREŠKA,VIR 2 NAPAKA,??????,BLAD NADAJNIK2
240,STI_SOURCE_2_OK,Turbidity Source 2 is ok.,1,14,SOURCE 2 OK,SENDER 2 OK,RECURSO 2 BIEN,SOURCE 2 OK,LAMPADA 2 OK,SENSOR 2 OK,KILDE 2 OK,TURBK. 2 OK,源2正常,NADAJNIK 2 OK.,ソース2OK,소스2 성공,FONTE 2 OK,ZDROJ 2 OK,ИСТОЧ. 2 OK,FORRÁS 2 OK,,SURSA 2 OK,ZDROJ 2 OK,KAYNAK 2 OK,SOURCE 2 OK,ΠΗΓΗ 2 ΟΚ,,TURB.2 OK,VIR 2 OK,??????,NADAJNIK 2 OK.
241,STI_SPACE,DO NOT TRANSLATE,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,??????,
242,STI_STATUS,Check the general status of the analyzer,1,10,STATUS,STATUS,ESTADO,ETAT,STATO,STATUS,STATUS,STATUS,状态,STAN,ステータス,상태,ESTADO,STAV,СТАТУС,ÁLLAPOT,,SITUATIE,STAV,DURUM,TILA,ΚΑΤΑΣΤΑΣΗ,,STATUS,STANJE,??????,STAN
243,STI_TC_NONE,No measurement compensation,1,16,NO COMP,KEINE KOMPENS.,SIN COMP.,NON COMPENSEE,NON COMPENSATO,GEEN COMP,INGEN KOMP.,INGEN KOMP.,无补偿,BRAK KOMPENS.,温度補償なし,보상없음,S/ COMPENSA��O,BEZ KOMPENZ,БЕЗ КОМПЕНСАЦ.,NINCS KOMP.,,FARA COMP,BEZ KOMPENZACE,KOMP YOK,EI KOMPENS,ΧΩΡΙΣ ΑΝΤΙΣΤΑΘ,,BEZ KOMP.,BREZ KOMP,??????,BRAK KOMPENS.
244,STI_TDS,Select total dissovled solids measurement type,1,15,TDS,GEL FESTSTOFFE,TDS,TDS,TDS,TDS,TDS,TDS,TDS,ROZP.ZW.STALE,TDS,TDS,TDS,NEROZP. LATKY,СОЛЕСОДЕРЖ.,TDS,,TDS,TDS,TDS,TDS,TDS,,TDS,TDS,??????,ROZP.ZW.STALE
245,STI_TDS_LINEAR,Choose the user defined factor or table entries.,1,14,USER DEFINED,BENUTZERDEF.,DEFINIRUSUARIO,TABLE UTILIS.,DEFIN. PROG.,GEBRUIK.TABEL,BRUGER TABEL,EGEN TABELL,用户定义,DEFIN.UZYTKOW.,ユーザ定義済み,사용자정의,DEF P/ USU�RIO,UŽÍVAT DEFIN,ПОЛЬЗОВАТ.,SAJÁT BEÁLL.,,DEFINIT UTILIZ,UŽIVAT DEFIN,KULL TANIMLI,OMA TAUL,ΚΑΘΟΡ.ΧΕΙΡΙΣ.,,KORIS.FAKTOR,UPORAB IZB,??????,DEFIN.UZYTKOW.
246,STI_TDS_NACL,Table salt - DO NOT TRANSLATE,0,4,NaCl,NaCl,NaCl,NaCl,NaCl,NaCl,NaCl,NaCl,NaCl,NaCl,NaCl,NaCl,NaCl,NaCl,NaCl,NaCl,NaCl,NaCl,NaCl,NaCl,NaCl,NaCl,NaCl,NaCl,NaCl,??????,NaCl
247,STI_TEMP,Abreviation for temperature,1,6,TEMP,TEMP,TEMP,TEMP.,TEMP,TEMP,TEMP,TEMP,温度,TEMP.,温度,온도,TEMP,TEPL,ТЕМП,HÖM.,,TEMP,TEPL,SIC,T,ΘΕΡΜ.,,TEMP.,TEMP,??????,TEMP.
